mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_cancer_mean,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean,pseudo_cancer_mean,pseudo_normal_mean,mapped_clusters_mean,folds
both,10,0.9,2,0.01,0.95,0.0,0.949874686716792,0.0,0.9503759398496239,0.96,0.9454545454545453,741.8,538.2,203.6,5.4,5
both,10,0.9,2,0.02,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,741.8,538.2,203.6,5.4,5
both,10,0.9,2,0.05,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,741.8,538.2,203.6,5.4,5
both,10,0.9,2,0.1,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,741.8,538.2,203.6,5.4,5
both,10,0.9,2,0.2,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,741.8,538.2,203.6,5.4,5
both,10,0.9,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,659.4,455.8,203.6,4.8,5
both,10,0.9,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,659.4,455.8,203.6,4.8,5
both,10,0.9,3,0.05,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,659.4,455.8,203.6,4.8,5
both,10,0.9,3,0.1,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,659.4,455.8,203.6,4.8,5
both,10,0.9,3,0.2,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,659.4,455.8,203.6,4.8,5
both,10,0.9,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,594.2,390.6,203.6,4.4,5
both,10,0.9,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,594.2,390.6,203.6,4.4,5
both,10,0.9,5,0.05,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,594.2,390.6,203.6,4.4,5
both,10,0.9,5,0.1,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,594.2,390.6,203.6,4.4,5
both,10,0.9,5,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,594.2,390.6,203.6,4.4,5
both,10,0.95,2,0.01,0.95,0.0,0.949874686716792,0.0,0.9503759398496239,0.96,0.9454545454545453,602.4,498.2,104.2,4.2,5
both,10,0.95,2,0.02,0.95,0.0,0.949874686716792,0.0,0.9503759398496239,0.96,0.9454545454545453,602.4,498.2,104.2,4.2,5
both,10,0.95,2,0.05,0.9400000000000001,0.02236067977499787,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,602.4,498.2,104.2,4.2,5
both,10,0.95,2,0.1,0.9400000000000001,0.02236067977499787,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,602.4,498.2,104.2,4.2,5
both,10,0.95,2,0.2,0.93,0.027386127875258275,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,602.4,498.2,104.2,4.2,5
both,10,0.95,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,520.0,415.8,104.2,3.6,5
both,10,0.95,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,520.0,415.8,104.2,3.6,5
both,10,0.95,3,0.05,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,520.0,415.8,104.2,3.6,5
both,10,0.95,3,0.1,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,520.0,415.8,104.2,3.6,5
both,10,0.95,3,0.2,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,520.0,415.8,104.2,3.6,5
both,10,0.95,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,454.8,350.6,104.2,3.2,5
both,10,0.95,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,454.8,350.6,104.2,3.2,5
both,10,0.95,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,454.8,350.6,104.2,3.2,5
both,10,0.95,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,454.8,350.6,104.2,3.2,5
both,10,0.95,5,0.2,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,454.8,350.6,104.2,3.2,5
both,10,1.0,2,0.01,0.95,0.0,0.949874686716792,0.0,0.9503759398496239,0.96,0.9454545454545453,577.6,498.2,79.4,4.0,5
both,10,1.0,2,0.02,0.95,0.0,0.949874686716792,0.0,0.9503759398496239,0.96,0.9454545454545453,577.6,498.2,79.4,4.0,5
both,10,1.0,2,0.05,0.9400000000000001,0.02236067977499787,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,577.6,498.2,79.4,4.0,5
both,10,1.0,2,0.1,0.9400000000000001,0.02236067977499787,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,577.6,498.2,79.4,4.0,5
both,10,1.0,2,0.2,0.9400000000000001,0.02236067977499787,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,577.6,498.2,79.4,4.0,5
both,10,1.0,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,495.2,415.8,79.4,3.4,5
both,10,1.0,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,495.2,415.8,79.4,3.4,5
both,10,1.0,3,0.05,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,495.2,415.8,79.4,3.4,5
both,10,1.0,3,0.1,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,495.2,415.8,79.4,3.4,5
both,10,1.0,3,0.2,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,495.2,415.8,79.4,3.4,5
both,10,1.0,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.2,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,15,0.9,2,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.05,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.1,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.2,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,3,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.05,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.1,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.2,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,5,0.01,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.02,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.05,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.1,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.2,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.95,2,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,0.95,2,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,0.95,2,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,0.95,2,0.1,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,0.95,2,0.2,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,0.95,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,0.95,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,0.95,3,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,0.95,3,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,539.0,414.6,124.4,5.8,5
both,15,0.95,3,0.2,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,539.0,414.6,124.4,5.8,5
both,15,0.95,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,0.95,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,0.95,5,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,0.95,5,0.1,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,0.95,5,0.2,0.9199999999999999,0.04472135954999577,0.9196476038581303,0.044919558819761146,0.9226703121439963,0.9400000000000001,0.9121212121212121,311.6,187.2,124.4,3.2,5
both,15,1.0,2,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,1.0,2,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,1.0,2,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,1.0,2,0.1,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,1.0,2,0.2,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,657.8,533.4,124.4,7.4,5
both,15,1.0,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,1.0,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,1.0,3,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,539.0,414.6,124.4,5.8,5
both,15,1.0,3,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,539.0,414.6,124.4,5.8,5
both,15,1.0,3,0.2,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,539.0,414.6,124.4,5.8,5
both,15,1.0,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,1.0,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,1.0,5,0.05,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,1.0,5,0.1,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,311.6,187.2,124.4,3.2,5
both,15,1.0,5,0.2,0.9199999999999999,0.04472135954999577,0.9196476038581303,0.044919558819761146,0.9226703121439963,0.9400000000000001,0.9121212121212121,311.6,187.2,124.4,3.2,5
both,20,0.9,2,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,670.8,425.6,245.2,9.4,5
both,20,0.9,2,0.02,0.9400000000000001,0.022360679774997876,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,670.8,425.6,245.2,9.4,5
both,20,0.9,2,0.05,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,670.8,425.6,245.2,9.4,5
both,20,0.9,2,0.1,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,670.8,425.6,245.2,9.4,5
both,20,0.9,2,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,670.8,425.6,245.2,9.4,5
both,20,0.9,3,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,544.2,303.4,240.8,7.0,5
both,20,0.9,3,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,544.2,303.4,240.8,7.0,5
both,20,0.9,3,0.05,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,544.2,303.4,240.8,7.0,5
both,20,0.9,3,0.1,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,544.2,303.4,240.8,7.0,5
both,20,0.9,3,0.2,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,544.2,303.4,240.8,7.0,5
both,20,0.9,5,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,345.4,117.2,228.2,4.2,5
both,20,0.9,5,0.02,0.9099999999999999,0.04183300132670374,0.9096726665147719,0.04196999518242139,0.9091866028708134,0.9,0.9244444444444444,345.4,117.2,228.2,4.2,5
both,20,0.9,5,0.05,0.9099999999999999,0.04183300132670374,0.9096726665147719,0.04196999518242139,0.9091866028708134,0.9,0.9244444444444444,345.4,117.2,228.2,4.2,5
both,20,0.9,5,0.1,0.9099999999999999,0.04183300132670374,0.9096726665147719,0.04196999518242139,0.9091866028708134,0.9,0.9244444444444444,345.4,117.2,228.2,4.2,5
both,20,0.9,5,0.2,0.9099999999999999,0.04183300132670374,0.9096726665147719,0.04196999518242139,0.9091866028708134,0.9,0.9244444444444444,345.4,117.2,228.2,4.2,5
both,20,0.95,2,0.01,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.1,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
both,20,0.95,3,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.1,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,486.4,303.4,183.0,6.2,5
both,20,0.95,5,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.02,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
